requisito_id,tipo,licenca,documento,modulo,topico,teste_aderencia,evidencia_esperada,peso,impacto,norma_origem,artigo_referencia,aplicabilidade_uf,data_mapeamento
RP.001,Tecnica,,Estudo geotecnico de sondagens,MODULO 1 - ESTUDOS,Topico 1.1 - Investigacao Geotecnica,A densidade de sondagens atende ao minimo por m2/hectare estabelecido pelo projeto?,Malha de sondagens SPT/rotativa com espacamento <= 50m em areas criticas,3,Alto,PL 3799/2024 + NRM-19,Art.58-A,MG,2026-04-18
RP.002,Tecnica,,Estudo geotecnico de sondagens,MODULO 1 - ESTUDOS,Topico 1.1 - Investigacao Geotecnica,"Os ensaios de caracterizacao (granulometria, compactacao, triaxial) foram realizados em numero suficiente?",Laudos laboratoriais assinados por laboratorio credenciado,3,Alto,NBR 13028-3,Cap.5,MG,2026-04-18
RP.003,Tecnica,,Estudo hidrologico com series historicas 20 anos,MODULO 1 - ESTUDOS,Topico 1.2 - Hidrologia,A serie historica utilizada tem duracao minima de 20 anos?,Dados INMET/ANA com no minimo 20 anos consecutivos,3,Alto,PL 3799/2024,Art.58-A V,MG,2026-04-18
RP.004,Tecnica,,Estudo hidrologico com series historicas 20 anos,MODULO 1 - ESTUDOS,Topico 1.2 - Hidrologia,Foram incorporadas projecoes climaticas baseadas em modelos atuais?,Uso de modelos CMIP6/CMIP5 ou equivalente com cenarios RCP/SSP,2,Medio,PL 3799/2024,Art.58-A V,MG,2026-04-18
RP.005,Tecnica,,Estudo hidrologico com series historicas 20 anos,MODULO 1 - ESTUDOS,Topico 1.2 - Hidrologia,A chuva de projeto para drenagem periferica considera TR 500 anos?,Memoria de calculo com curva IDF e TR explicita,3,Alto,NBR 13028-3,Cap.7,MG,2026-04-18
RP.006,Tecnica,,Estudo hidrologico com series historicas 20 anos,MODULO 1 - ESTUDOS,Topico 1.2 - Hidrologia,A chuva de projeto para drenagem interna considera TR 100 anos?,Memoria de calculo com TR 100 anos,3,Alto,NBR 13028-3,Cap.7,MG,2026-04-18
RP.007,Tecnica,,Estudo hidrogeologico,MODULO 1 - ESTUDOS,Topico 1.3 - Hidrogeologia,O lencol freatico foi identificado e mapeado?,Piezometros + mapa potenciometrico,3,Alto,PL 3799/2024,Art.58-B V,MG,2026-04-18
RP.008,Tecnica,,Estudo hidrogeologico,MODULO 1 - ESTUDOS,Topico 1.3 - Hidrogeologia,Desvios de cursos d'agua foram adequadamente detalhados?,Planta com alinhamento de curso original e desvio projetado,2,Medio,PL 3799/2024,Art.58-B V,MG,2026-04-18
RP.009,Tecnica,,Estudo de sismicidade,MODULO 1 - ESTUDOS,Topico 1.4 - Sismicidade,O estudo de sismicidade cobre a regiao do empreendimento?,Analise com base em carta sismica atual do Brasil,2,Medio,PL 3799/2024,Art.58-B III,MG,2026-04-18
RP.010,Tecnica,,Classificacao de consequencia da pilha,MODULO 1 - ESTUDOS,Topico 1.5 - Classificacao,A classificacao de consequencia foi determinada pela metodologia GISTM?,Documento com categoria (extreme/very high/high/significant/low) justificada,3,Alto,GISTM,Principio 6,MG,2026-04-18
RP.011,Tecnica,,Projeto executivo completo com ART,MODULO 2 - PROJETO,Topico 2.1 - Projeto Executivo,O projeto executivo possui ART registrada no CREA/CAU?,ART valida do responsavel tecnico + empresa,3,Alto,PL 2519/2024 MG,Art.1,MG,2026-04-18
RP.012,Tecnica,,Memorial descritivo e especificacoes construtivas,MODULO 2 - PROJETO,Topico 2.2 - Memorial,O memorial descreve especificacoes construtivas por camada?,"Espessura, inclinacao, compactacao e tolerancias explicitas",3,Alto,NBR 13028-3,Cap.6,MG,2026-04-18
RP.013,Tecnica,,Projeto de drenagem interna (TR 100 anos),MODULO 2 - PROJETO,Topico 2.3 - Drenagem Interna,A drenagem interna considera as deformacoes esperadas?,Calculo com deformacao e controle de anisotropia,3,Alto,NBR 13028-3,Cap.7,MG,2026-04-18
RP.014,Tecnica,,Projeto de drenagem superficial (TR 500 anos),MODULO 2 - PROJETO,Topico 2.4 - Drenagem Superficial,Existem dispositivos de dissipacao de energia?,Bacias/canais com dimensionamento especifico,2,Medio,NBR 13028-3,Cap.7,MG,2026-04-18
RP.015,Tecnica,,Projeto de drenagem superficial (TR 500 anos),MODULO 2 - PROJETO,Topico 2.4 - Drenagem Superficial,Estruturas de retencao de sedimentos estao dimensionadas?,Projeto de sedimentador com volume calculado,2,Medio,NBR 13028-3,Cap.7,MG,2026-04-18
RP.016,Tecnica,,"Analise de estabilidade estatica (FS >= 1,5)",MODULO 2 - PROJETO,Topico 2.5 - Estabilidade,"O fator de seguranca estatico minimo e >= 1,5?",Relatorio com FS em todos os taludes criticos,3,Alto,NBR 13028-3,Cap.8,MG,2026-04-18
RP.017,Tecnica,,"Analise de estabilidade sismica (FS >= 1,1)",MODULO 2 - PROJETO,Topico 2.5 - Estabilidade,"O FS sismico (pseudo-estatico) e >= 1,1?",Relatorio com analise pseudo-estatica ou dinamica,3,Alto,NBR 13028-3,Cap.8,MG,2026-04-18
RP.018,Tecnica,,"Analise de estabilidade residual (FS >= 1,1)",MODULO 2 - PROJETO,Topico 2.5 - Estabilidade,"O FS residual (resistencia pos-pico) e >= 1,1?",Relatorio com parametros residuais,3,Alto,NBR 13028-3,Cap.8,MG,2026-04-18
RP.019,Tecnica,,Analise de liquefacao estatica e ciclica (CSR/CRR),MODULO 2 - PROJETO,Topico 2.6 - Liquefacao,A analise de liquefacao aplica metodologias CSR/CRR?,Razao CSR/CRR calculada com justificativa,3,Alto,NBR 13028-3,Cap.8,MG,2026-04-18
RP.020,Tecnica,,Modelagem de ruptura hipotetica,MODULO 2 - PROJETO,Topico 2.7 - Cenario de Ruptura,O cenario de ruptura hipotetica foi modelado?,"Simulacao em software dedicado (FLOW-3D, Itasca, etc.)",3,Alto,NBR 13028-3,Cap.9,MG,2026-04-18
RP.021,Tecnica,,Modelagem de ruptura hipotetica,MODULO 2 - PROJETO,Topico 2.7 - Cenario de Ruptura,O volume mobilizavel e a area afetada foram estimados?,Mapa de mancha + volume em m3,3,Alto,NBR 13028-3,Cap.9,MG,2026-04-18
RP.022,Legal,,"Certidao de nao-sobreposicao com APP, UC, encostas",MODULO 3 - LOCACAO,Topico 3.1 - Vedacoes,A pilha nao esta em APP ou Unidade de Conservacao?,Certidao do orgao ambiental + sobreposicao GIS negativa,3,Alto,PL 3799/2024,Art.58-B Paragr.3,MG,2026-04-18
RP.023,Legal,,"Certidao de nao-sobreposicao com APP, UC, encostas",MODULO 3 - LOCACAO,Topico 3.1 - Vedacoes,A pilha nao esta em encosta ou jusante de comunidades?,Analise topografica + mapa de uso do solo,3,Alto,PL 3799/2024,Art.58-B Paragr.3,MG,2026-04-18
RP.024,Legal,,"Certidao de nao-sobreposicao com APP, UC, encostas",MODULO 3 - LOCACAO,Topico 3.1 - Vedacoes,A pilha nao esta a jusante de sistemas de captacao de agua para abastecimento humano?,Levantamento de pontos de captacao e distancia,3,Alto,PL 3799/2024,Art.58-B Paragr.3,MG,2026-04-18
RP.025,Tecnica,,Estudo de captacao de agua a jusante,MODULO 3 - LOCACAO,Topico 3.2 - Captacoes Jusante,Foram identificadas captacoes hidricas a jusante e montante?,Lista de captacoes com distancia e uso,2,Medio,PL 3799/2024,Art.58-A VII,MG,2026-04-18
RP.026,Tecnica,,Estudo de biodiversidade e levantamento arqueologico,MODULO 3 - LOCACAO,Topico 3.3 - Biodiversidade,O estudo inclui areas prioritarias para conservacao?,Sobreposicao com base MMA/IEF + relatorio de fauna/flora,2,Medio,PL 3799/2024,Art.58-A VI,MG,2026-04-18
RP.027,Legal,,Estudo de biodiversidade e levantamento arqueologico,MODULO 3 - LOCACAO,Topico 3.4 - Arqueologia,Existe laudo arqueologico conforme IPHAN (Portaria 375/2018)?,Laudo com pesquisa de campo e manifestacao IPHAN,2,Medio,Portaria IPHAN 375/2018,,MG,2026-04-18
RP.028,Tecnica,,Projeto de instrumentacao,MODULO 4 - MONITORAMENTO,Topico 4.1 - Instrumentacao Projetada,"A rede de instrumentacao cobre pontos criticos (taludes, fundacao, drenos)?",Planta de locacao com numero minimo de piezometros/inclinometros,3,Alto,PL 3799/2024 + NBR 13028-3,Art.58-D,MG,2026-04-18
RP.029,Tecnica,,Conexao em tempo real com Centros de Controle,MODULO 4 - MONITORAMENTO,Topico 4.2 - Telemetria,A instrumentacao esta conectada em tempo real ao CCO publico (onde houver)?,Evidencia de API ou integracao com Sisema/ANM,3,Alto,PL 3799/2024,Art.2 Paragr.3,MG,2026-04-18
RP.030,Tecnica,,Conexao em tempo real com Centros de Controle,MODULO 4 - MONITORAMENTO,Topico 4.2 - Telemetria,Existe Centro de Monitoramento Geotecnico interno ativo 24/7?,Sala de monitoramento + escalonamento,3,Alto,PL 3799/2024,Art.2 Paragr.3,MG,2026-04-18
RP.031,Tecnica,,Plano de monitoramento geotecnico,MODULO 4 - MONITORAMENTO,Topico 4.3 - Plano Geotecnico,"O plano define cadencia, thresholds e acoes por nivel de alerta?",Tabela de thresholds com acoes por cor,3,Alto,NRM-19,,MG,2026-04-18
RP.032,Tecnica,,Plano de monitoramento hidrico,MODULO 4 - MONITORAMENTO,Topico 4.4 - Monitoramento Hidrico,"Existe monitoramento de contaminacao de ar, solo e agua?","Plano com parametros, frequencia e laboratorios",2,Medio,PL 2519/2024 MG,Art.6 IV,MG,2026-04-18
RP.033,Tecnica,,Registros de piezometros,MODULO 4 - MONITORAMENTO,Topico 4.5 - Leituras Periodicas,Os piezometros tem leituras mensais documentadas?,Planilhas/dashboards com historico,2,Medio,NBR 13028-3,Cap.10,MG,2026-04-18
RP.034,Tecnica,,Registros de inclinometros e marcos,MODULO 4 - MONITORAMENTO,Topico 4.5 - Leituras Periodicas,Os inclinometros e marcos sao lidos mensalmente?,Historico de leituras,2,Medio,NBR 13028-3,Cap.10,MG,2026-04-18
RP.035,Tecnica,,Relatorios de monitoramento de drenagem,MODULO 4 - MONITORAMENTO,Topico 4.6 - Drenagem,Ha inspecao mensal das estruturas de drenagem?,Checklist + fotos + dados de vazao/turbidez,2,Medio,PL 3799/2024 + NBR 13028-3,Art.58-B V,MG,2026-04-18
RP.036,Tecnica,,Boletins periodicos de estabilidade com ART,MODULO 5 - BOLETINS,Topico 5.1 - Boletim Mensal/Trimestral,Ha boletim periodico assinado por engenheiro responsavel?,Boletim com ART valida,3,Alto,PL 2519/2024 MG,Art.6 III,MG,2026-04-18
RP.037,Tecnica,,RISR - Relatorio de Inspecao de Seguranca Regular,MODULO 5 - BOLETINS,Topico 5.2 - RISR,O RISR e emitido semestralmente?,Historico dos 2 ultimos RISR,3,Alto,NRM-19,,MG,2026-04-18
RP.038,Tecnica,,DCE - Declaracao de Condicao de Estabilidade,MODULO 5 - BOLETINS,Topico 5.3 - DCE,A DCE esta vigente e atualizada?,DCE com data de emissao e validade,3,Alto,NRM-19,,MG,2026-04-18
RP.039,Tecnica,,RISE - Relatorio de Inspecao de Seguranca Especial,MODULO 5 - BOLETINS,Topico 5.4 - RISE,Houve RISE em resposta a eventos climaticos extremos/sismicos?,Historico de RISE e gatilhos,2,Medio,NRM-19,,MG,2026-04-18
RP.040,Tecnica,,Reavaliacao anual por empresa terceira,MODULO 5 - BOLETINS,Topico 5.5 - Auditoria Anual,A reavaliacao anual foi feita por empresa terceira independente?,Relatorio + contrato com auditor independente,3,Alto,PL 3799/2024,Art.58-B Paragr.2 e Art.58-C,MG,2026-04-18
RP.041,Legal,,PAEPRE,MODULO 6 - EMERGENCIA,Topico 6.1 - PAEPRE,Existe PAEPRE formal com revisao anual por empresa terceira?,Documento PAEPRE com data e auditor,3,Alto,PL 3799/2024,Art.58-C,MG,2026-04-18
